Date,Price,Price,Dividend,Dividend,Earnings,Earnings,Cpi,CAPE
1911-10-01,8.72,289.24108608707553,0.47,15.589829181298793,0.6133,20.343068589128826,9.229089256,13.066472850619194
1911-11-01,9.07,303.98236452282174,0.47,15.752118117500132,0.6017,20.166062704893257,9.134004959,13.727997586413094
1911-12-01,9.11,308.5375587050917,0.47,15.917964060526137,0.59,19.982125097256215,9.038839669,13.929258419578236
1912-01-01,9.12,305.6581217693643,0.4708,15.778930233444816,0.5992,20.082274842566125,9.134004959,13.794952631845822
1912-02-01,9.04,299.8554378700874,0.4717,15.646217925146043,0.6083,20.17721934251927,9.229089256,13.531634369686595
1912-03-01,9.3,302.24640156938074,0.4725,15.356067176508857,0.6175,20.06851107194544,9.419419835,13.639769173944167
1912-04-01,9.59,302.50517524759516,0.4733,14.929687116234282,0.6267,19.768508167640032,9.704834711,13.654392690553232
1912-05-01,9.58,302.18973710865083,0.4742,14.958076548739273,0.6358,20.055556874079354,9.704834711,13.645500685612367
1912-06-01,9.58,305.18234514822853,0.475,15.131692478643899,0.645,20.547245576263823,9.609669421,13.785417404502525
1912-07-01,9.59,305.5009070951474,0.4758,15.157177434397404,0.6542,20.840322567429137,9.609669421,13.802876645015786
1912-08-01,9.81,309.44481430437,0.4767,15.03693608347535,0.6633,20.92301175617621,9.704834711,13.984761763426272
1912-09-01,9.86,308.0017499999999,0.4775,14.915906249999995,0.6725,21.007218749999993,9.8,13.92628500131587
1912-10-01,9.84,307.3769999999999,0.4783,14.940896249999996,0.6817,21.294603749999993,9.8,13.905092701178463
1912-11-01,9.73,303.94087499999995,0.4792,14.969009999999997,0.6908,21.578864999999993,9.8,13.74954101860653
1912-12-01,9.38,295.8809743297646,0.48,15.141030669326971,0.7,22.080669726101835,9.704834711,13.388999452579629
1913-01-01,9.3,290.50874999999996,0.48,14.993999999999994,0.6942,21.685072499999997,9.8,13.148088791761557
1913-02-01,8.97,280.20037499999995,0.48,14.993999999999994,0.6883,21.500771249999996,9.8,12.682960516236756
1913-03-01,8.8,274.88999999999993,0.48,14.993999999999994,0.6825,21.319593749999996,9.8,12.443453515183657
1913-04-01,8.79,274.5776249999999,0.48,14.993999999999994,0.6767,21.138416249999995,9.8,12.433067081795162
1913-05-01,8.55,269.83403350515465,0.48,15.148577319587625,0.6708,21.170136804123707,9.7,12.221401061154124
1913-06-01,8.12,253.64849999999993,0.48,14.993999999999994,0.665,20.772937499999998,9.8,11.491962852761224
1913-07-01,8.23,254.48781060606055,0.48,14.84254545454545,0.6592,20.38376242424242,9.9,11.534022795459858
1913-08-01,8.45,261.2906439393939,0.48,14.84254545454545,0.6533,20.201322803030298,9.9,11.846840543564626
1913-09-01,8.53,261.12675749999994,0.48,14.694119999999995,0.6475,19.821755624999994,10.0,11.843316826625973
1913-10-01,8.26,252.86131499999993,0.48,14.694119999999995,0.6417,19.644201674999998,10.0,11.471490240312288
1913-11-01,8.05,243.99271039603957,0.48,14.548633663366333,0.6358,19.270877673267325,10.1,11.072537845038006
1913-12-01,8.04,246.1265099999999,0.48,14.694119999999995,0.63,19.286032499999997,10.0,11.17404087003679
1914-01-01,8.37,256.22871749999996,0.475,14.541056249999997,0.6208,19.004395199999998,10.0,11.636092105046133
1914-02-01,8.48,262.218303030303,0.47,14.533325757575753,0.6117,18.91496886363636,9.9,11.910233879798238
1914-03-01,8.32,257.27078787878787,0.465,14.378715909090905,0.6025,18.63048674242424,9.9,11.685526018836827
1914-04-01,8.12,253.64849999999993,0.46,14.369249999999997,0.5933,18.533208749999996,9.8,11.522662536200235
1914-05-01,8.17,252.63249242424237,0.455,14.06949621212121,0.5842,18.064614696969695,9.9,11.47900869416448
